Loss Function,Input Activation Function,Hidden Neurons,Train Accuracy,Train Loss,Train BCE,Train MSE,Validation Accuracy
mean_squared_error,tanh,76,0.8177045345306396,0.13826981782913209,0.46858100295066835,0.13826981782913209,0.8101490616798401
mean_squared_error,tanh,38,0.8102603673934936,0.1433555006980896,0.49076992869377134,0.1433555006980896,0.8022355914115906
mean_squared_error,silu,76,0.808165180683136,0.14540322124958038,0.4861270248889923,0.14540322124958038,0.7999143362045288
mean_squared_error,tanh,25,0.7979294419288635,0.14797841906547546,0.49145179986953735,0.14797841906547546,0.7775931000709534
mean_squared_error,tanh,19,0.7851323843002319,0.1542881041765213,0.5177156865596771,0.1542881041765213,0.7691993236541748
mean_squared_error,relu,76,0.7989761471748352,0.14638620615005493,0.49116005897521975,0.14638620615005493,0.7673258662223816
mean_squared_error,silu,38,0.7800139307975769,0.15727701187133789,0.5153461992740631,0.15727701187133789,0.7640808701515198
mean_squared_error,relu,38,0.7752432584762573,0.15894872844219207,0.5283608436584473,0.15894872844219207,0.7566184163093567
mean_squared_error,silu,25,0.769543194770813,0.16628316342830657,0.5702828645706177,0.16628316342830657,0.7542993426322937
mean_squared_error,silu,19,0.764426326751709,0.16588881015777587,0.5587100267410279,0.16588881015777587,0.7487125158309936
mean_squared_error,relu,25,0.7605849266052246,0.16825033128261566,0.5932344555854797,0.16825033128261566,0.7422041535377503
binary_crossentropy,silu,25,0.7388266682624817,0.8835071444511413,0.8835071444511413,0.20699486434459685,0.7357207179069519
mean_squared_error,relu,19,0.7573296546936035,0.17078140676021575,0.598815643787384,0.17078140676021575,0.7352176547050476
binary_crossentropy,tanh,38,0.7439452409744263,0.8789000391960144,0.8789000391960144,0.20378284454345702,0.7282680153846741
binary_crossentropy,relu,25,0.7296465635299683,0.8986086964607238,0.8986086964607238,0.2170819252729416,0.7231192111968994
binary_crossentropy,tanh,19,0.7109228610992432,1.0879955053329469,1.0879955053329469,0.25566829144954684,0.7151775240898133
binary_crossentropy,silu,76,0.7136934638023377,0.786779123544693,0.786779123544693,0.20162867307662963,0.7124746561050415
binary_crossentropy,silu,38,0.6803020238876343,0.9001953840255738,0.9001953840255738,0.22280310094356537,0.7003772974014282
binary_crossentropy,silu,19,0.7039369821548462,1.7259310483932495,1.7259310483932495,23.13698627948761,0.6956589221954346
binary_crossentropy,tanh,25,0.7104430675506592,1.4503449559211732,1.4503449559211732,0.3742156267166138,0.6952208995819091
binary_crossentropy,relu,19,0.6853248357772828,1.4534149885177612,1.4534149885177612,0.36684751212596894,0.6728313446044922
binary_crossentropy,tanh,76,0.6514672636985779,2.8258410573005674,2.8258410573005674,1.2042518734931946,0.6519162893295288
binary_crossentropy,relu,38,0.6567019701004029,2.236236071586609,2.236236071586609,0.955658882856369,0.6416956663131714
binary_crossentropy,relu,76,0.6400609374046325,2.1396340489387513,2.1396340489387513,13.294711035490035,0.6384496212005615


binary_crossentropy	elu	76	0.791764402389526	0.471285301446915	0.471285301446915	0.151955479383469	0.777571427822113
binary_crossentropy	tanh	76	0.779550099372864	0.488290774822235	0.488290774822235	0.158804357051849	0.767334532737732
binary_crossentropy	elu	38	0.772802340984345	0.498692309856415	0.498692309856415	0.163122162222862	0.764079785346985
binary_crossentropy	elu	25	0.770590317249298	0.498083811998367	0.498083811998367	0.162837302684784	0.759426474571228
binary_crossentropy	elu	19	0.756166112422943	0.51509439945221	0.51509439945221	0.169917467236519	0.750590336322784
binary_crossentropy	tanh	38	0.760820317268372	0.510770666599274	0.510770666599274	0.167993396520615	0.749653601646423
binary_crossentropy	tanh	25	0.760933971405029	0.518164038658142	0.518164038658142	0.170690673589706	0.749194991588593
mean_squared_error	elu	76	0.748952877521515	0.176034250855446	0.531254625320435	0.176034250855446	0.744526469707489
binary_crossentropy	tanh	19	0.745577323436737	0.520209610462189	0.520209610462189	0.172216591238976	0.735700106620789
mean_squared_error	tanh	76	0.742204964160919	0.180454871058464	0.541916799545288	0.180454871058464	0.728245234489441
mean_squared_error	elu	38	0.732085907459259	0.183544561266899	0.548672664165497	0.183544561266899	0.724064612388611
mean_squared_error	elu	25	0.723474168777466	0.186982980370522	0.555528092384338	0.186982980370522	0.720812058448792
mean_squared_error	elu	19	0.718243765830994	0.188952732086182	0.560783898830414	0.188952732086182	0.711950981616974
mean_squared_error	tanh	38	0.714405751228333	0.189535036683083	0.562644946575165	0.189535036683083	0.708214890956879
mean_squared_error	tanh	25	0.70742062330246	0.19514317214489	0.575248026847839	0.19514317214489	0.700335013866425
mean_squared_error	tanh	19	0.699511075019836	0.197209796309471	0.579667639732361	0.197209796309471	0.69612512588501
