Learning Rate,Momentum,Train Accuracy,Train Loss,Train BCE,Train MSE,Validation Accuracy
0.05,0.6,0.9027453184127807,0.2800231993198395,0.2800231993198395,0.07937372177839279,0.8678473472595215
0.1,0.6,0.8873894333839416,0.2949681282043457,0.2949681282043457,0.08558468371629716,0.854815411567688
0.001,0.6,0.8257330417633056,0.4065789461135864,0.4065789461135864,0.12705100923776627,0.823645043373108
0.001,0.2,0.7867613673210144,0.4667540967464447,0.4667540967464447,0.15044246315956117,0.7845600962638855
