Learning Rate,Momentum,L2,Train Accuracy,Train Loss,Train BCE,Train MSE,Validation Accuracy
0.05,0.6,0.0001,0.8919254660606384,0.2981043815612793,0.29163411259651184,0.08359089493751526,0.8673876523971558
0.05,0.6,0.001,0.8879716277122498,0.336954802274704,0.29869661331176756,0.08575485348701477,0.8627299904823303
0.05,0.6,0.01,0.8508625268936157,0.3900697767734528,0.35604695677757264,0.1082816794514656,0.8417910695075989
