Loss Function,Input Activation Function,Hidden Neurons,Train Accuracy,Train Loss,Train BCE,Train MSE,Validation Accuracy
binary_crossentropy,tanh,76,0.8911151051521301,0.28339865803718567,0.28339865803718567,0.08282527625560761,0.8589992880821228
mean_squared_error,tanh,76,0.8890174865722656,0.08867530375719071,0.30897108316421507,0.08867530375719071,0.8511042475700379
mean_squared_error,silu,19,0.8792490839958191,0.09353825896978378,0.3225400447845459,0.09353825896978378,0.851090157032013
binary_crossentropy,silu,25,0.874944531917572,0.3133589863777161,0.3133589863777161,0.0935273066163063,0.8478289008140564
binary_crossentropy,tanh,38,0.8778476595878602,0.3050399959087372,0.3050399959087372,0.09099138677120208,0.8464433193206787
mean_squared_error,silu,38,0.8733096599578858,0.09789189100265502,0.3345217347145081,0.09789189100265502,0.8459868788719177
binary_crossentropy,silu,38,0.8596995830535888,0.3398279011249542,0.3398279011249542,0.10252336412668228,0.8422594428062439
mean_squared_error,relu,76,0.8529546618461609,0.10910093933343887,0.3617892861366272,0.10910093933343887,0.841788911819458
mean_squared_error,tanh,25,0.8627286672592163,0.1031910538673401,0.3440532088279724,0.1031910538673401,0.8417878150939941
binary_crossentropy,tanh,25,0.8644685864448547,0.3294148981571198,0.3294148981571198,0.09961835891008378,0.8413346409797668
mean_squared_error,tanh,38,0.877848744392395,0.09611864686012268,0.3263432741165161,0.09611864686012268,0.840394651889801
mean_squared_error,tanh,19,0.8697073101997376,0.1000757098197937,0.3365329623222351,0.1000757098197937,0.8403924703598022
binary_crossentropy,tanh,19,0.8580751419067383,0.33656086921691897,0.33656086921691897,0.10230815857648849,0.8399295210838318
mean_squared_error,silu,76,0.8533040404319763,0.10956252664327622,0.3619551479816437,0.10956252664327622,0.838533091545105
binary_crossentropy,relu,76,0.8533025503158569,0.3539872407913208,0.3539872407913208,0.10754881352186203,0.8362086057662964
binary_crossentropy,silu,76,0.8543529868125915,0.35095234513282775,0.35095234513282775,0.10696233659982682,0.8357282996177673
binary_crossentropy,silu,19,0.851904296875,0.35703170895576475,0.35703170895576475,0.10914735347032548,0.8352816224098205
binary_crossentropy,relu,38,0.8431831002235413,0.37099858522415163,0.37099858522415163,0.11383403390645981,0.8338786840438843
mean_squared_error,relu,19,0.8478370904922485,0.11256474256515503,0.3701897978782654,0.11256474256515503,0.8334189891815186
binary_crossentropy,relu,25,0.8444626450538635,0.36939881443977357,0.36939881443977357,0.11338600218296051,0.8334157228469848
mean_squared_error,relu,25,0.8491163134574891,0.11372087746858597,0.3732610523700714,0.11372087746858597,0.8334146499633789
binary_crossentropy,relu,19,0.8428339838981629,0.37379570603370665,0.37379570603370665,0.11504660546779633,0.8324844121932984
mean_squared_error,silu,25,0.8532115697860718,0.1343701332807541,2.023442584276199,0.1343701332807541,0.8151840448379517
mean_squared_error,relu,38,0.7515010118484498,0.21729280352592467,4.006264102458954,0.21729280352592467,0.738533103466034
